Keyword Stats 2022-05-28 at 09_02_52
2020年5月1日 - 2022年4月30日
Keyword	Currency	Avg. monthly searches	三个月变化	年同比变化	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: May 2020	Searches: Jun 2020	Searches: Jul 2020	Searches: Aug 2020	Searches: Sep 2020	Searches: Oct 2020	Searches: Nov 2020	Searches: Dec 2020	Searches: Jan 2021	Searches: Feb 2021	Searches: Mar 2021	Searches: Apr 2021	Searches: May 2021	Searches: Jun 2021	Searches: Jul 2021	Searches: Aug 2021	Searches: Sep 2021	Searches: Oct 2021	Searches: Nov 2021	Searches: Dec 2021	Searches: Jan 2022	Searches: Feb 2022	Searches: Mar 2022	Searches: Apr 2022	Concept: Computer	Concept: Company	Concept: Other Brands	Concept: Non-Brands	Concept: Device	Concept: Others	Concept: Element
capcut pc version	SGD	20	-50%	0%	低	3							Y	0	0	0	0	0	0	10	10	10	10	10	10	10	40	50	50	30	50	70	10	30	20	20	10				Non-Brands			download for pc
capcut apk ios	SGD	10	100%	100%	低	1							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	20	20				Non-Brands	"android, ios"	apk	
capcut new update	SGD	30	-29%	∞	低	1							Y	0	0	0	0	0	0	0	0	0	0	0	0	260	20	20	20	20	30	10	20	10	70	90	50				Non-Brands		apk	
cup cut pro apk	SGD	10	∞	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	10	0	10	10	0	0	10	10	10	10	0	0	10	10				Non-Brands	android	"apk, pro"	
capcut download pc windows 7	SGD	10	∞	0%	低	14							Y	0	0	0	0	0	0	0	10	10	10	0	10	10	10	10	10	10	10	10	0	0	0	10	10				Non-Brands	windows		download for pc
capcut hack apk	SGD	10	0%	100%	低	0							Y	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	20				Non-Brands	android	apk	
cap cup editor	SGD	10	0%	-67%	低	14							Y	0	0	0	0	10	10	10	20	10	20	30	30	20	10	10	10	10	10	10	10	10	10	10	10				Non-Brands			
capcut online video editor	SGD	70	-18%	1300%	中	38	0.66	2.47					Y	0	0	0	0	0	10	0	10	10	10	10	10	30	90	110	30	90	90	170	170	210	170	110	140				Non-Brands		"video editing, video editor"	
capcut for desktop	SGD	30	40%	250%	低	1							Y	0	0	0	10	10	10	10	10	10	10	10	20	70	40	40	50	30	40	40	50	90	50	70	70	desktop			Non-Brands	windows		download for pc
download capcut app	SGD	10	0%	0%	中	37	0.31	1.50					Y	0	0	0	0	0	0	10	10	0	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10				Non-Brands	android	video editing	
capcut youtube	SGD	20	0%	300%	低	4							Y	0	0	10	0	10	10	10	10	10	10	20	10	20	20	10	10	10	20	20	30	40	40	40	40			youtube				
install capcut	SGD	10	100%	100%	低	25	0.34	1.16					Y	0	0	0	0	0	0	0	10	10	10	10	10	20	20	20	20	20	10	20	20	20	10	20	20				Non-Brands		apk	
capcut online free no download	SGD	70	-33%	367%	低	23	0.52	1.31					Y	0	0	0	0	0	0	0	0	0	0	20	30	90	110	70	90	70	90	170	210	210	210	170	140				Non-Brands		video editing	
capcutapp	SGD	10	0%	0%	低	11							Y	0	0	0	0	10	10	10	0	10	10	10	10	20	20	10	10	10	30	10	20	20	10	10	10				Non-Brands			
capcut video editing app	SGD	20	-50%	100%	低	13	1.04	1.81					Y	0	0	0	0	10	0	10	10	10	10	10	10	10	20	40	20	10	30	30	90	70	40	20	20				Non-Brands		"video editing, video editor"	
capcut download pc windows 10	SGD	20	80%	800%	低	9	0.81	1.55					Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	40	30	30	40	50	70	90				Non-Brands	windows		download for pc
capcut pc windows 7	SGD	10	0%	-100%	未知								Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	0	0	10	0	10	0	10	0				Non-Brands	windows		download for pc
capcut for windows 10 free download	SGD	20	0%	-67%	低	11							Y	0	0	0	0	0	0	0	10	10	30	40	30	30	20	50	30	10	10	20	20	10	10	10	10				Non-Brands	windows		download for pc
viamaker download	SGD	10	-100%	-100%	未知								Y	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0				Non-Brands		apk	
capcut for chromebook	SGD	210	23%	182%	低	13	0.67	1.29					Y	0	0	0	0	0	0	30	40	90	90	140	170	170	260	320	210	170	170	320	590	590	390	590	480				Non-Brands	android	"video editor, 2021"	
capcut updated apk	SGD	10	0%	∞	低	3							Y	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	20	10				Non-Brands	android	apk	
capcut pc online	SGD	10	0%	0%	低	10							Y	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	0	10	10	10	10	10	10	10	10				Non-Brands			
capcut 2020	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	10	10	30	10	10	10	10	10	10	10	0	10	10	10				Non-Brands	android	"2021, 2020"	
capcut online web	SGD	10	∞	∞	低	29							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	10	10	10	10	10	0	10	10				Non-Brands			
capcut android apk	SGD	10	0%	0%	低	7							Y	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10				Non-Brands	android	apk	
capcut download android	SGD	10	0%	∞	低	29							Y	0	0	0	0	0	0	0	10	0	0	10	0	10	10	10	10	10	10	10	10	0	10	10	10				Non-Brands	android		
capcut app pc	SGD	10	0%	0%	低	14							Y	0	0	0	0	10	0	10	10	10	10	10	10	30	30	20	20	20	10	20	10	10	10	20	10				Non-Brands			
velocity capcut	SGD	110	0%	586%	低	1	0.77	2.49					Y	0	0	0	0	0	0	0	0	0	20	50	70	40	50	140	260	90	170	110	90	140	480	390	480				Non-Brands		video editing	
video editor capcut	SGD	20	-25%	200%	低	24	0.82	2.73					Y	0	0	0	0	0	10	10	10	10	10	10	10	10	20	40	20	20	20	30	20	20	40	30	30				Non-Brands		"video editing, video editor"	
capcut app download for android	SGD	10	0%	0%	低	29							Y	0	0	0	0	0	10	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands	android		
capcut photo editor	SGD	20	0%	100%	低	17	0.74	3.12					Y	0	0	0	0	0	10	0	10	10	10	10	20	30	70	10	20	10	40	30	30	30	40	30	40				Non-Brands	android	photo	
open capcut	SGD	40	-20%	33%	低	8	0.10	0.83					Y	0	0	0	0	0	0	0	0	10	30	10	30	70	110	170	170	50	70	40	40	40	50	50	40				Non-Brands			
capcut free download for laptop	SGD	10	-100%	-100%	未知								Y	0	0	0	0	0	10	10	10	10	10	10	10	0	10	0	10	0	10	0	10	10	10	0	0	laptop			Non-Brands			
cutcap app download	SGD	10	-50%	0%	低	9							Y	0	0	0	0	0	0	0	0	10	10	20	10	10	20	30	20	10	10	10	10	10	20	20	10				Non-Brands	android	video editing	
capcut on mac	SGD	70	21%	89%	低	0							Y	0	0	0	0	0	0	20	30	30	50	50	90	140	110	110	110	90	110	110	140	140	140	170	170				Non-Brands	mac		download for mac
capcut apk 2021	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	10	10	10	0	0	0	10	0				Non-Brands	android	"apk, 2021"	
capcut google play	SGD	30	0%	100%	低	14	2.40	7.42					Y	0	0	0	10	10	20	10	10	10	20	10	20	30	30	70	40	30	30	70	70	70	40	40	40		google			android	"video editor, app store"	
online capcut	SGD	20	0%	100%	低	27	0.49	0.85					Y	0	0	0	0	0	10	10	10	10	10	20	20	30	30	20	40	20	30	40	50	50	40	50	40				Non-Brands			
capcut download laptop	SGD	10	0%	0%	低	0							Y	0	0	0	0	10	0	0	0	10	10	10	10	0	10	10	10	10	10	10	10	10	10	10	10	laptop			Non-Brands			
capcut pc free download	SGD	10	0%	0%	低	14							Y	0	0	0	0	0	0	0	0	10	10	0	10	10	10	10	10	0	10	10	10	10	10	10	10				Non-Brands			download for pc
viamaker apk pro	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0				Non-Brands	android	"apk, pro"	
cap cut editing app	SGD	50	0%	-93%	低	8							Y	0	0	20	30	30	50	70	90	140	170	140	140	90	10	10	10	20	10	20	20	20	10	10	10				Non-Brands	android	"video editing, video editor"	
capcut for computer	SGD	110	-46%	56%	低	7	0.63	3.04					Y	0	0	0	0	0	10	10	10	40	40	70	90	260	260	170	140	90	110	210	390	390	260	140	140	computer			Non-Brands			download for pc
capcut filters	SGD	140	0%	57%	低	5	0.30	1.53					Y	0	0	0	0	0	10	10	10	20	40	90	70	140	110	110	110	140	1900	170	170	90	110	110	110				Non-Brands		video editing	
update capcut 2021	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	10	10	0	0	10	0	0				Non-Brands		2021	
velocity edit capcut	SGD	140	0%	179%	低	2	1.13	2.38					Y	0	0	0	0	0	0	10	10	10	40	90	140	140	110	110	210	170	210	210	260	260	390	390	390				Non-Brands		video editing	
cap cut web	SGD	10	0%	-67%	低	1							Y	0	0	0	0	0	0	0	0	10	0	30	30	20	10	10	10	10	20	30	30	20	10	10	10				Non-Brands			
capcut apk android	SGD	10	0%	∞	低	7							Y	0	0	0	0	0	0	0	0	0	0	10	0	10	10	10	10	10	10	10	10	0	10	10	10				Non-Brands	android	apk	
cupcat editor apk	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0				Non-Brands	android	"video editing, apk, video editor"	
download capcut for laptop	SGD	10	0%	0%	中	57							Y	0	0	0	0	0	0	0	10	10	0	10	10	0	10	10	10	10	10	0	10	10	10	10	10	laptop			Non-Brands			
cap cut edit	SGD	70	57%	22%	低	4	0.58	1.86					Y	0	0	0	10	10	10	20	40	30	50	90	90	90	90	110	90	70	260	70	90	90	70	70	110				Non-Brands		"video editing, video editor"	
capcut web pc	SGD	10	∞	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	10	10	10	0	0	10	10	computer			Non-Brands			download for pc
capcut mac download	SGD	40	56%	250%	低	5	0.75	1.90					Y	0	0	0	0	0	0	10	20	30	30	40	40	50	70	50	30	20	30	30	90	110	90	110	140				Non-Brands	mac		download for mac
cap cut pc download	SGD	10	0%	0%	低	1							Y	0	0	0	0	0	10	10	0	10	10	10	10	20	10	10	10	10	10	10	20	10	10	10	10				Non-Brands			download for pc
download app capcut	SGD	10	0%	∞	低	24							Y	0	0	0	0	10	10	0	10	10	0	0	0	10	10	10	10	0	10	10	0	0	10	0	10				Non-Brands	android	video editing	
capcut for pc windows 10	SGD	10	0%	-50%	低	0							Y	0	0	0	0	0	0	0	10	10	40	10	20	40	10	50	50	20	10	10	10	10	10	10	10				Non-Brands	windows		download for pc
cap cut cut cut	SGD	0	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Non-Brands		2021	
capcut apk pro download	SGD	10	0%	∞	低	5							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	0	10	10	10				Non-Brands	android	"apk, pro"	
3d zoom effect capcut	SGD	10	-50%	∞	低	4							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	110	10	10	10	50	10	10	30	20	30	10			zoom				
download capcut for pc windows 10	SGD	10	-100%	-100%	未知								Y	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	0	10	10	10	0	10	10	10	0				Non-Brands	windows		download for pc
cupcat editor download	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0				Non-Brands		"video editing, apk, video editor"	
capcut apk for ios	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	0	10	10	10	10	0	10	0	10				Non-Brands	"android, ios"	apk	
capcut editor online	SGD	10	0%	100%	低	21	0.48	1.85					Y	0	0	0	0	0	0	10	10	10	10	10	10	10	20	10	10	10	10	20	10	10	20	10	20				Non-Brands		"video editing, video editor"	
free capcut	SGD	20	75%	250%	低	31	0.47	1.37					Y	0	0	0	0	0	0	0	10	10	10	20	20	10	30	30	20	10	30	10	20	30	40	20	70				Non-Brands	android		
pc capcut	SGD	10	100%	300%	低	9	0.63	1.21					Y	0	0	0	0	0	10	10	0	10	10	10	10	10	10	20	20	10	20	40	20	30	20	30	40				Non-Brands	windows		download for pc
capcut foto	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands		2021	
capcut editor app	SGD	10	0%	0%	中	40	0.60	1.08					Y	0	0	0	0	0	0	10	10	10	10	10	10	10	20	10	10	20	10	10	10	10	10	10	10				Non-Brands	android	"video editing, video editor"	
capcut preset	SGD	30	267%	450%	低	2							Y	0	0	0	0	0	0	10	20	20	40	30	20	40	50	90	30	40	40	40	30	40	30	70	110				Non-Brands			
capcut apk new version	SGD	10	0%	∞	低	14							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	10	0	10	10	10	10				Non-Brands	android	apk	
capcut download for android	SGD	10	0%	0%	中	50							Y	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands	android		
capcut video editor for pc free download	SGD	10	0%	0%	低	29							Y	0	0	0	0	0	0	0	0	0	10	0	10	10	10	10	20	10	10	10	10	10	10	10	10				Non-Brands	windows	"video editing, video editor"	download for pc
bend zoom capcut	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	20	20	10	10	10	10	10	10	10	10	0	10	10	10	10	10	10	10	10			zoom				
download mp3 capcut	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10	0	0	0	0	0	0				Non-Brands			
capcut photo	SGD	30	40%	600%	低	2							Y	0	0	0	0	0	0	0	10	10	10	20	10	30	40	30	30	40	110	50	40	50	50	70	70				Non-Brands		photo	
capcut download ios	SGD	10	50%	200%	低	8							Y	0	0	0	0	0	0	0	0	10	0	10	10	10	20	10	10	10	10	10	10	10	20	20	30				Non-Brands	"android, ios"		
cap cut video	SGD	10	33%	300%	低	13	1.16	2.63					Y	10	0	10	10	10	10	10	10	10	10	10	10	10	20	20	10	10	30	30	30	40	30	30	40				Non-Brands		2021	
capcut editor apk	SGD	10	25%	400%	低	6							Y	0	0	0	0	0	0	0	0	0	0	0	10	0	10	10	10	10	30	30	20	50	40	40	50				Non-Brands	android	"video editing, apk, video editor"	
free download capcut apk	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	10	0	10	10	0	10	0				Non-Brands	android	apk	
capcut app logo	SGD	140	86%	179%	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	140	210	210	260	320	210	210	170	170	260	210	260	390				Non-Brands			
capcut full version apk	SGD	10	100%	∞	低	3							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	10	10	10	10	20				Non-Brands	android	apk	
free download capcut for pc	SGD	10	∞	0%	低	21							Y	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	10	0	0	10	0	10	0	0	10				Non-Brands	windows		download for pc
capcut apk download for pc	SGD	10	-100%	-100%	未知								Y	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	0	0	10	0	10	0	0				Non-Brands		apk	download for pc
capcut for iphone	SGD	10	-50%	0%	低	16	0.44	2.03					Y	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	10				Non-Brands	"ios, iphone"		
capcut pc apk	SGD	10	0%	0%	低	7							Y	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10				Non-Brands	android	apk	download for pc
capcut download link	SGD	10	0%	0%	低	11							Y	0	0	0	0	0	0	0	0	10	10	0	10	10	10	10	10	10	10	10	20	10	10	10	10				Non-Brands	android	apk	
apps like capcut for pc	SGD	30	-29%	0%	低	12	0.51	1.92					Y	0	0	0	0	0	0	0	10	20	20	40	50	50	70	70	70	40	50	50	50	50	70	50	50				Non-Brands		video editing	download for pc
download capcut for windows 10	SGD	10	0%	∞	低	10							Y	0	0	0	0	0	0	10	10	10	10	10	0	10	10	10	10	10	10	10	0	10	10	10	10				Non-Brands	windows		download for pc
cutcap app	SGD	10	-67%	0%	低	9							Y	0	0	0	10	10	10	10	20	10	10	10	10	10	30	0	10	10	10	10	10	70	30	40	10				Non-Brands	android		
3d effect in capcut	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	70	20	10	10	30	10	10	20	10	10	10			zoom				
download capcut for windows	SGD	10	200%	200%	低	5							Y	0	0	0	0	10	10	0	10	0	10	10	10	10	10	10	10	10	0	10	10	10	10	30	30				Non-Brands	windows		download for pc
capcut zoom	SGD	20	-33%	100%	低	1							Y	0	0	0	0	0	0	10	0	10	10	10	10	70	110	50	10	30	90	30	20	30	30	20	20			zoom			2021	
cap cut mac	SGD	30	0%	0%	低	0							Y	0	0	20	20	30	30	20	20	30	30	40	30	20	20	20	40	30	30	40	30	30	30	40	30				Non-Brands	mac		
cap cut download apk	SGD	10	0%	0%	低	14							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	10	0	10	0	10	10	10	10				Non-Brands		apk	
best effects on capcut	SGD	40	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	110	140	140	70	70	90	70	90	50	50	50	50				Non-Brands		video editing	
cutcap for pc	SGD	10	0%	-50%	低	0							Y	0	0	0	0	0	0	0	10	20	20	30	20	10	10	10	0	10	10	10	10	20	10	10	10				Non-Brands			
download video capcut mp3	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0				Non-Brands			
capcut 3d zoom app download	SGD	10	0%	∞	低	14							Y	0	0	0	0	0	0	0	0	0	0	0	0	20	30	10	10	10	10	10	10	0	10	10	10			zoom				
capcut korea	SGD	10	∞	∞	低	2							Y	0	0	0	0	0	10	0	0	10	10	10	0	10	10	10	10	10	0	10	10	10	0	0	10				Non-Brands	android		
capcut apk for android	SGD	10	0%	0%	低	16							Y	0	0	0	0	0	10	0	0	0	0	0	10	10	10	10	10	10	10	0	0	10	10	10	10				Non-Brands	android	apk	
capcut apk for laptop	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0	laptop			Non-Brands	android	apk	
capcut windows 10 download	SGD	10	0%	0%	低	6							Y	0	0	0	0	0	0	0	0	10	10	20	10	10	10	10	20	10	10	20	10	10	10	10	10				Non-Brands	windows		download for pc
download capcut for android	SGD	10	0%	∞	低	21							Y	0	0	0	0	0	0	10	10	0	10	10	0	10	10	10	10	10	10	10	0	10	10	10	10				Non-Brands	android		
capcut for macbook	SGD	40	21%	750%	低	3	0.60	1.56					Y	0	0	0	0	0	0	0	10	20	10	20	20	20	40	50	70	40	30	50	70	110	140	170	170		apple			mac		
capcut 6.0 apk	SGD	10	∞	∞	低	14							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	10	10	0	0	10				Non-Brands	android	apk	
capcut app download pc	SGD	10	-100%	-100%	未知								Y	0	0	0	0	0	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	10	0				Non-Brands			download for pc
capcut editor for pc	SGD	10	0%	0%	低	17							Y	0	0	0	0	10	10	10	10	10	10	10	10	10	30	20	20	10	10	20	10	10	10	20	10				Non-Brands	windows	"video editing, video editor"	download for pc
capcut effects download	SGD	10	300%	∞	低	9	0.62	1.58					Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	20	40	10	20	20	10	30	40				Non-Brands	android	video editing	
capcut chinese app link	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	10	0	0	10	10	10	10	0	0	0	0	0	0	0	0				Non-Brands	android	chinese	
capcut 3d effect download	SGD	10	100%	∞	低	5							Y	0	0	0	0	0	0	0	0	0	0	0	0	30	20	10	10	10	10	10	10	10	10	10	20				Non-Brands			
download capcut video editor	SGD	10	0%	0%	中	43							Y	0	0	0	0	0	0	10	0	0	0	0	10	10	10	10	10	10	10	0	10	0	10	10	10				Non-Brands	android	"video editing, video editor"	
capcut chinese apk	SGD	10	∞	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	10	10				Non-Brands	android	"apk, chinese"	
download video capcut template	SGD	10	100%	∞	低	7							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	10	10	10	10	10	20				Non-Brands			
apps similar to capcut	SGD	20	0%	0%	低	30	1.33	3.53					Y	0	0	0	0	10	10	10	10	20	10	10	20	20	30	40	30	20	10	20	30	40	20	20	20				Non-Brands		video editing	
capcut mediafire	SGD	10	0%	0%	低	14							Y	0	0	0	0	0	0	0	0	0	0	0	10	0	10	10	10	10	10	0	10	10	10	0	10			mediafire		android	apk	
download capcut for windows 7	SGD	10	0%	-100%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	10	10	0	10	0	0	0	10	10	0	0	0	0				Non-Brands	windows		download for pc
capcut windows 7	SGD	10	∞	0%	低	0							Y	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	0	10	10	0	10	10				Non-Brands	windows		download for pc
capcut download app	SGD	10	∞	0%	低	0							Y	0	0	0	0	0	0	0	0	10	0	10	10	0	10	10	10	10	10	10	10	10	0	0	10				Non-Brands	android		
new capcut effect	SGD	50	33%	∞	低	1							Y	0	0	0	0	0	0	0	0	0	0	0	0	480	90	20	10	90	260	30	10	10	30	30	40				Non-Brands			
tutor edit capcut	SGD	10	∞	0%	低	0							Y	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	0	10	10	10	0	0	10				Non-Brands		"video editing, video editor"	
3d effect on capcut	SGD	30	-33%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	210	140	30	10	10	70	10	10	30	30	20	20			zoom				
capcut zoom effect	SGD	40	-22%	∞	低	1							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	70	70	50	70	210	70	70	90	90	70	70			zoom				
capcut software	SGD	20	0%	0%	低	20	0.59	1.44					Y	0	0	0	0	0	10	10	10	10	10	10	20	30	40	30	20	20	30	30	50	40	20	20	20				Non-Brands		video editing	
capcut windows download	SGD	10	0%	100%	低	8							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	20	30	20	10	10	10	30	50	20	40	20				Non-Brands	windows		download for pc
capcut vn	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	20	10				Non-Brands	android		
capcut apk download for ios	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10				Non-Brands	ios	apk	
capcut pc download windows 10	SGD	10	100%	0%	低	4							Y	0	0	0	0	0	0	0	0	10	10	10	20	20	10	10	10	10	10	10	10	10	10	10	20	computer			Non-Brands	windows		download for pc
capcut ipad	SGD	10	-33%	100%	低	3							Y	0	0	0	0	0	0	10	10	10	10	20	10	10	20	10	10	10	10	20	90	30	30	30	20				Non-Brands	ipad		
download capcut laptop	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	10	10	0	0	0	laptop			Non-Brands			
capcut template apk	SGD	10	100%	∞	低	1							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	20				Non-Brands		apk	
cup cut download apk	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10	10	10	0	0	0	0				Non-Brands	android	apk	
capcut 3d zoom download	SGD	10	0%	∞	低	19							Y	0	0	0	0	0	0	0	0	0	0	0	0	30	40	10	10	10	10	10	10	10	10	10	10			zoom				
cap cut on pc	SGD	50	-85%	33%	低	0							Y	0	0	0	0	0	0	0	0	0	0	30	30	30	40	30	40	40	40	40	140	390	260	30	40				Non-Brands			
download video cap cut	SGD		 --	 --	未知								Y																												Non-Brands		video editing	
capcut pc download free	SGD	10	0%	∞	低	3							Y	0	0	0	0	0	0	0	0	0	0	10	0	10	10	10	0	0	0	10	10	10	10	10	10				Non-Brands			download for pc
capcut updated version	SGD	10	0%	∞	低	13	0.06	0.60					Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	10	10	10	10	20	20	20				Non-Brands	android	apk	
editing apps like capcut	SGD	70	21%	325%	中	34	0.77	1.96					Y	0	0	0	0	0	0	0	10	10	20	40	40	70	90	110	70	110	90	90	140	110	140	170	170				Non-Brands		"video editing, video editor"	
capcut bluestacks	SGD	10	50%	200%	低	0							Y	0	0	0	0	0	0	10	10	10	10	10	10	10	30	10	10	20	30	20	30	30	20	30	30			bluestacks		android		download for pc
app capcut apk	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands	android	apk	
capcut apk download free	SGD	10	∞	∞	低	0							Y	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	10	10	0	10	0	0	10				Non-Brands	android	apk	
capcut video editor online	SGD	10	50%	200%	中	35	0.66	2.67					Y	0	0	0	0	0	0	10	20	20	10	10	10	20	10	20	10	10	10	10	10	20	20	20	30				Non-Brands		"video editing, video editor"	
velocity on capcut	SGD	110	-18%	256%	低	0							Y	0	0	0	0	0	0	0	10	20	40	50	90	70	70	110	210	90	170	140	140	110	390	480	320				Non-Brands		video editing	
cap cut apk pro	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	10	10	0				Non-Brands	android	"apk, pro"	
download cup cut apk	SGD	10	0%	-100%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	10	0	0	10	0	0	10	0				Non-Brands	android	apk	
capcut app for android	SGD	10	0%	0%	低	20	0.18	3.16					Y	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands	android		
capcut in laptop	SGD	10	-100%	-100%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	0	10	10	10	10	10	10	10	0	0	laptop			Non-Brands			
cap cut pro download	SGD	10	∞	∞	低	0							Y	0	0	0	0	0	0	0	0	10	0	10	0	0	10	0	10	0	0	0	0	0	0	0	10				Non-Brands		"apk, pro"	
capcut app apk download	SGD	10	-67%	0%	低	29							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	0	10	10	10	0	10	10	10	30	10	10				Non-Brands	android	apk	
capcut style 3d zoom	SGD	10	100%	∞	低	2							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	30	10	10	10	40	10	10	10	10	10	20			zoom				
capcut apk download 2021	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10	0	0	0	0	0				Non-Brands	android	"apk, 2021"	
capcut on computer	SGD	70	22%	120%	低	2	0.55	1.48					Y	0	0	0	0	0	0	0	10	20	30	40	50	90	110	110	90	90	90	90	110	140	90	110	110	computer			Non-Brands			download for pc
download link capcut	SGD		 --	 --	未知								Y																												Non-Brands		apk	
